Code_CIS;Code_CIP13;Code_Evnt_Pres;Date_Evnt_Pres;Evnt_Pres
65878914;3400957742904;15;01/02/2011;Déclaration de commercialisation
65880178;3400938502596;15;03/06/2008;Déclaration de commercialisation
65880420;3400933867737;15;16/03/2009;Déclaration de commercialisation
65880420;3400934659003;15;16/03/2009;Déclaration de commercialisation
65880598;3400931305361;15;19/04/1972;Déclaration de commercialisation
65880598;3400931305361;16;28/10/2021;Déclaration d'arrêt de commercialisation
65881230;3400930010648;15;08/06/2015;Déclaration de commercialisation
65881579;3400937406772;15;08/08/2006;Déclaration de commercialisation
65883338;3400934436895;15;24/12/2009;Déclaration de commercialisation
65883886;3400935589262;15;05/11/2004;Déclaration de commercialisation
65883904;3400956017447;15;15/01/1997;Déclaration de commercialisation
65883904;3400956017447;16;14/03/2018;Déclaration d'arrêt de commercialisation
65883904;3400958071386;15;29/01/2014;Déclaration de commercialisation
65883904;3400958071447;15;29/10/2014;Déclaration de commercialisation
65883904;3400958362002;15;20/09/2019;Déclaration de commercialisation
65883904;3400958362002;15;23/01/2023;Déclaration de commercialisation
65883904;3400958362002;16;27/05/2022;Déclaration d'arrêt de commercialisation
65883904;3400958362170;15;14/03/2018;Déclaration de commercialisation
65883904;3400958362231;15;23/01/2018;Déclaration de commercialisation
65884187;3400957694616;15;07/05/2010;Déclaration de commercialisation
65884187;3400957825331;15;12/10/2010;Déclaration de commercialisation
65884582;3400956445936;15;06/12/2007;Déclaration de commercialisation
65884618;3400930078167;15;17/10/2017;Déclaration de commercialisation
65884618;3400930078167;16;27/04/2018;Déclaration d'arrêt de commercialisation
65884618;3400930078198;15;17/10/2017;Déclaration de commercialisation
65884618;3400930078198;16;30/05/2018;Déclaration d'arrêt de commercialisation
65888082;3400935285751;15;02/09/2004;Déclaration de commercialisation
65888082;3400935285751;15;25/11/2011;Déclaration de commercialisation
65888082;3400935285751;16;26/05/2006;Déclaration d'arrêt de commercialisation
65888082;3400935285751;16;17/12/2020;Déclaration d'arrêt de commercialisation
